dataset,feature,length,model_size,auc
StackExchange,prob,300,1b,0.5272370000000001
StackExchange,prob,400,1b,0.500714
StackExchange,prob,500,1b,0.515099
StackExchange,prob,600,1b,0.501378
StackExchange,prob,700,1b,0.516498
StackExchange,prob,800,1b,0.519629
StackExchange,prob,900,1b,0.5127894736842105
StackExchange,prob,0,2.8b,0.518731
StackExchange,prob,100,2.8b,0.5049870000000001
StackExchange,prob,200,2.8b,0.507065
StackExchange,prob,300,2.8b,0.529037
StackExchange,prob,400,2.8b,0.502128
StackExchange,prob,500,2.8b,0.5112810000000001
StackExchange,prob,600,2.8b,0.502502
StackExchange,prob,700,2.8b,0.519058
StackExchange,prob,800,2.8b,0.521881
StackExchange,prob,900,2.8b,0.5156027568922306
StackExchange,prob,0,6.9b,0.519474
StackExchange,prob,100,6.9b,0.509657
StackExchange,prob,200,6.9b,0.5092125000000001
StackExchange,prob,300,6.9b,0.530247
StackExchange,prob,400,6.9b,0.5028999999999999
StackExchange,prob,500,6.9b,0.5086189999999999
StackExchange,prob,600,6.9b,0.50341
StackExchange,prob,700,6.9b,0.520316
StackExchange,prob,800,6.9b,0.523154
StackExchange,prob,900,6.9b,0.5175764411027568
StackExchange,ppl,0,410m,0.5247485
StackExchange,ppl,100,410m,0.5021599999999999
StackExchange,ppl,200,410m,0.5023635000000001
StackExchange,ppl,300,410m,0.5240825
StackExchange,ppl,400,410m,0.5042095
StackExchange,ppl,500,410m,0.5154755
StackExchange,ppl,600,410m,0.504286
StackExchange,ppl,700,410m,0.5156909999999999
StackExchange,ppl,800,410m,0.517673
StackExchange,ppl,900,410m,0.51234335839599
StackExchange,ppl,0,1b,0.5223495
StackExchange,ppl,100,1b,0.5039119999999999
StackExchange,ppl,200,1b,0.503898
StackExchange,ppl,300,1b,0.527435
StackExchange,ppl,400,1b,0.500739
StackExchange,ppl,500,1b,0.5153125000000001
StackExchange,ppl,600,1b,0.5014025
StackExchange,ppl,700,1b,0.5163935
StackExchange,ppl,800,1b,0.519663
StackExchange,ppl,900,1b,0.5128088972431077
StackExchange,ppl,0,2.8b,0.5188599999999999
StackExchange,ppl,100,2.8b,0.5051495
StackExchange,ppl,200,2.8b,0.5070545
StackExchange,ppl,300,2.8b,0.5291589999999999
StackExchange,ppl,400,2.8b,0.502165
StackExchange,ppl,500,2.8b,0.511379
StackExchange,ppl,600,2.8b,0.5024995
StackExchange,ppl,700,2.8b,0.5190615000000001
StackExchange,ppl,800,2.8b,0.521827
StackExchange,ppl,900,2.8b,0.515578947368421
StackExchange,ppl,0,6.9b,0.5197005
StackExchange,ppl,100,6.9b,0.5095765000000001
