dataset,feature,length,model_size,auc
StackExchange,refer,70,2.8b,0.51166
StackExchange,refer,80,2.8b,0.502178
StackExchange,refer,90,2.8b,0.5002015000000001
StackExchange,refer,0,6.9b,0.5150440000000001
StackExchange,refer,10,6.9b,0.5196705
StackExchange,refer,20,6.9b,0.5004190000000001
StackExchange,refer,30,6.9b,0.5015525000000001
StackExchange,refer,40,6.9b,0.5168025
StackExchange,refer,50,6.9b,0.5329755
StackExchange,refer,60,6.9b,0.503944
StackExchange,refer,70,6.9b,0.51166
StackExchange,refer,80,6.9b,0.502178
StackExchange,refer,90,6.9b,0.5002015000000001
PubMed Central,loss,0,410m,0.518818493150685
PubMed Central,loss,10,410m,0.5045489864864865
PubMed Central,loss,20,410m,0.5019460370994941
PubMed Central,loss,30,410m,0.5028060708263069
PubMed Central,loss,40,410m,0.5001045531197302
PubMed Central,loss,50,410m,0.5060506756756757
PubMed Central,loss,60,410m,0.5071128762541806
PubMed Central,loss,70,410m,0.5048471283783784
PubMed Central,loss,80,410m,0.5010810810810811
PubMed Central,loss,90,410m,0.502576858108108
PubMed Central,loss,0,1b,0.5158869863013699
PubMed Central,loss,10,1b,0.5015701013513513
PubMed Central,loss,20,1b,0.506322934232715
PubMed Central,loss,30,1b,0.5042849915682968
PubMed Central,loss,40,1b,0.5002436762225969
PubMed Central,loss,50,1b,0.5030076013513514
PubMed Central,loss,60,1b,0.5042608695652173
PubMed Central,loss,70,1b,0.5107423986486487
PubMed Central,loss,80,1b,0.5032652027027027
PubMed Central,loss,90,1b,0.502125
PubMed Central,loss,0,2.8b,0.5139292237442923
PubMed Central,loss,10,2.8b,0.5017246621621622
PubMed Central,loss,20,2.8b,0.5110202360876896
PubMed Central,loss,30,2.8b,0.5127698145025296
PubMed Central,loss,40,2.8b,0.5015489038785834
PubMed Central,loss,50,2.8b,0.5010228040540541
PubMed Central,loss,60,2.8b,0.5081638795986622
PubMed Central,loss,70,2.8b,0.5132423986486486
PubMed Central,loss,80,2.8b,0.5069307432432433
PubMed Central,loss,90,2.8b,0.5021849662162161
